Transaction ID,Customer ID,Transaction Date,Prod Subcat Code,Prod Cat Code,Rate,Qty,Net_Sales
8410316370.0,266783,02/20/13,4,1,869,1,869
16999552161.0,266783,02/09/13,10,5,835,2,1670
98477711300.0,266783,10/21/12,4,1,869,3,2607
25890929042.0,266783,09/23/11,1,2,1321,4,5284
36310127403.0,266784,12/04/12,4,3,200,2,400
26928161256.0,266784,09/09/12,7,5,176,5,880
54234600611.0,266784,08/23/12,10,5,835,3,2505
89882144571.0,266785,08/01/13,1,4,206,3,618
72638047851.0,266785,02/13/13,1,2,1321,5,6605
79527990288.0,266785,07/01/12,1,2,1321,3,3963
96176911576.0,266785,05/23/12,10,6,1236,5,6180
17960226367.0,266785,02/01/12,11,5,917,5,4585
62414620900.0,266785,10/24/11,4,2,1419,2,2838
94925617839.0,266785,03/15/11,4,2,1419,5,7095
89000309020.0,266788,02/12/13,1,2,1321,1,1321
5914139604.0,266788,10/31/12,1,4,206,2,412
86711622576.0,266788,09/13/11,4,2,1419,4,5676
4236411732.0,266788,06/12/11,7,5,176,1,176
15403541663.0,266794,02/12/14,3,2,322,2,644
42435707527.0,266794,06/29/13,10,3,123,1,123
95489094825.0,266794,11/27/12,8,3,1043,4,4172
42434369409.0,266794,09/11/12,10,3,123,2,246
25044564554.0,266794,06/28/12,3,2,322,3,966
89950500283.0,266794,01/30/12,3,1,347,4,1388
33850562229.0,266794,06/10/11,1,4,206,2,412
94032380647.0,266794,04/22/11,12,5,897,4,3588
65159722842.0,266794,04/22/11,4,4,828,3,2484
86426292691.0,266794,04/13/11,11,5,917,3,2751
21355537809.0,266794,03/18/11,3,1,347,3,1041
84471719078.0,266799,01/09/14,10,6,1236,1,1236
26739409431.0,266799,09/24/13,10,5,835,2,1670
38727202803.0,266799,03/11/12,5,3,1294,5,6470
612207817.0,266803,06/02/12,6,5,1202,3,3606
31792657799.0,266804,06/08/13,5,3,1294,2,2588
33368801444.0,266805,12/27/13,8,3,1043,4,4172
71028241442.0,266806,11/28/13,4,1,869,4,3476
14141098432.0,266806,02/21/13,2,6,1141,3,3423
71485838232.0,266806,12/05/12,4,4,828,5,4140
22473497751.0,266806,10/18/12,12,6,468,1,468
45582965717.0,266806,09/09/12,1,2,1321,5,6605
72040605380.0,266806,02/02/12,10,5,835,5,4175
87133856980.0,266807,12/25/12,4,1,869,4,3476
80634339024.0,266807,04/07/12,10,3,123,2,246
80355459748.0,266807,11/14/11,1,4,206,4,824
64640133578.0,266807,10/27/11,9,3,470,1,470
41945444111.0,266809,07/16/13,7,5,176,2,352
90562061384.0,266809,02/23/13,3,2,322,1,322
39730299055.0,266809,07/04/12,1,2,1321,4,5284
53015148085.0,266809,08/06/11,4,2,1419,3,4257
