Transaction ID,Customer ID,Transaction Date,Prod Subcat Code,Prod Cat Code,Rate,Qty,Net_Sales
29258453508,270384,05/22/23,3,5,1497,5,7485
25455265351,267750,05/22/23,6,12,1360,3,4080
1571002198,275023,05/22/23,5,6,587,4,2348
36554696014,269345,05/22/23,5,3,1253,3,3759
56814940239,268799,05/22/23,5,7,368,5,1840
54295803788,270787,05/22/23,5,12,584,5,2920
25963520987,274829,05/22/23,4,4,502,3,1506
17183929085,266863,05/22/23,2,1,1359,1,1359
44783317894,269452,05/22/23,1,3,825,3,2475
58957828601,269009,05/22/23,5,11,846,4,3384
9647515879,268934,05/22/23,5,7,1384,3,4152
20781077773,269223,05/22/23,3,5,1203,3,3609
91116291703,268509,05/22/23,2,1,1243,4,4972
68325723297,268516,05/22/23,3,9,877,1,877
73235813024,268774,05/22/23,5,3,76,1,76
80712190438,270351,05/22/23,1,1,772,5,3860
66989395597,272785,05/22/23,3,10,474,2,948
99581788104,267466,05/22/23,2,3,96,1,96
28396777609,269101,05/22/23,1,4,1386,4,5544
22391667321,270842,05/22/23,2,1,723,5,3615
51075317246,274987,05/22/23,6,10,374,5,1870
16199275450,275139,05/22/23,2,4,173,1,173
22698449434,269136,05/22/23,5,7,189,5,945
13167171971,275149,05/22/23,3,4,804,4,3216
32130400636,269772,05/22/23,6,12,229,3,687
31384765864,267058,05/22/23,2,3,793,1,793
85894118953,271817,05/22/23,2,3,1401,3,4203
63407734630,271322,05/22/23,2,3,1360,5,6800
90740728864,268229,05/22/23,2,4,984,5,4920
82750983847,267544,05/22/23,5,3,805,1,805
67328698675,268755,05/22/23,2,3,1018,1,1018
80381707658,269407,05/22/23,5,6,573,5,2865
78709566028,273023,05/22/23,6,10,1052,2,2104
67079812295,271818,05/22/23,3,10,1408,2,2816
72427583709,268129,05/22/23,4,4,885,1,885
14259136777,274477,05/22/23,3,10,1489,1,1489
7313351894,267568,05/22/23,6,2,481,4,1924
37745642681,267098,05/22/23,2,1,109,1,109
13861409908,271608,05/22/23,2,1,1352,2,2704
58956348529,272484,05/22/23,1,4,1443,4,5772
58886320392,268715,05/22/23,6,10,768,2,1536
53081075361,273250,05/22/23,6,11,1345,5,6725
