recency,frequency,monetary,normalized_recency,normalized_frequency,normalized_monetary,fcm_cluster,k_means_cluster,Cluster_name
365,4,8102,2,3,3,2,0,About to Sleep
443,3,5153,2,2,2,4,2,About to Sleep
203,7,25740,3,5,5,3,3,Champions
373,4,5514,2,3,2,4,2,About to Sleep
8,11,25446,5,5,5,0,3,Champions
42,3,7944,5,2,3,0,4,Loyal Customer
628,1,3606,1,1,1,1,1,Hibernating
257,1,1438,3,1,1,1,1,Hibernating
55,1,4184,5,1,2,3,4,Loyal Customer
84,6,18307,4,5,5,0,3,Champions
422,4,5264,2,3,2,4,2,About to Sleep
219,5,13571,3,4,5,3,4,Loyal Customer
359,5,17961,2,4,5,2,0,Loyal Customer
891,2,1137,1,1,1,1,1,Hibernating
31,1,939,5,1,1,2,0,Potential Loyalist
341,5,11011,2,4,4,2,0,Potential Loyalist
233,3,6877,3,2,3,2,2,About to Sleep
195,5,10063,3,4,4,3,0,Potential Loyalist
455,3,2808,2,2,1,1,1,Hibernating
167,4,6233,3,3,2,2,0,Potential Loyalist
168,3,6728,3,2,3,2,2,About to Sleep
18,4,7326,5,3,3,0,3,Champions
523,3,1976,1,2,1,1,1,Hibernating
130,8,22242,4,5,5,0,3,Champions
187,3,8130,3,2,3,2,2,About to Sleep
109,4,5494,4,3,2,2,0,Potential Loyalist
55,3,6114,5,2,2,3,3,Champions
40,6,11340,5,5,4,0,3,Champions
259,3,8300,3,2,3,2,2,About to Sleep
299,3,11822,2,2,4,4,2,About to Sleep
49,2,1504,5,1,1,2,0,Potential Loyalist
769,2,1932,1,1,1,1,1,Hibernating
366,3,6807,2,2,3,4,2,About to Sleep
740,4,10029,1,3,4,4,2,About to Sleep
592,1,2574,1,1,1,1,1,Hibernating
33,7,24380,5,5,5,0,3,Champions
103,3,4758,4,2,2,2,0,Potential Loyalist
11,6,11200,5,5,4,0,3,Champions
313,2,8651,2,1,3,4,2,About to Sleep
914,2,2038,1,1,1,1,1,Hibernating
106,5,20033,4,4,5,3,3,Champions
163,2,2933,3,1,1,1,1,Hibernating
831,1,1136,1,1,1,1,1,Hibernating
1096,2,11505,1,1,4,4,2,About to Sleep
198,2,5990,3,1,2,4,2,About to Sleep
415,4,6076,2,3,2,4,2,About to Sleep
25,4,7984,5,3,3,0,3,Champions
318,5,10978,2,4,4,2,0,Potential Loyalist
95,4,11652,4,3,4,3,4,Loyal Customer
634,4,9613,1,3,3,4,2,About to Sleep
53,5,10750,5,4,4,0,3,Champions
324,2,5802,2,1,2,4,2,Hibernating
261,2,9076,3,1,3,4,2,About to Sleep
277,1,4980,2,1,2,4,2,Hibernating
210,4,11539,3,3,4,3,4,Loyal Customer
0,4,5017,5,3,2,0,3,Champions
351,5,15477,2,4,5,2,0,Loyal Customer
469,5,16634,1,4,5,2,0,About to Sleep
361,2,2552,2,1,1,1,1,Hibernating
332,4,10560,2,3,4,2,0,About to Sleep
81,3,2961,4,2,1,2,0,Potential Loyalist
811,2,3511,1,1,1,1,1,Hibernating
418,2,4839,2,1,2,4,2,Hibernating
88,4,11763,4,3,4,3,4,Loyal Customer
707,2,1734,1,1,1,1,1,Hibernating
53,1,2084,5,1,1,2,0,Potential Loyalist
157,6,11526,3,5,4,3,0,Potential Loyalist
472,4,4125,1,3,2,4,2,About to Sleep
299,1,1940,2,1,1,1,1,Hibernating
242,4,7487,3,3,3,2,0,Potential Loyalist
84,4,9741,4,3,4,3,4,Loyal Customer
270,1,2292,2,1,1,1,1,Hibernating
375,2,5460,2,1,2,4,2,Hibernating
109,3,3474,4,2,1,2,0,Potential Loyalist
405,2,10410,2,1,4,4,2,About to Sleep
228,6,18203,3,5,5,3,3,Champions
222,4,9181,3,3,3,2,0,Potential Loyalist
754,1,489,1,1,1,1,1,Hibernating
14,4,9157,5,3,3,0,3,Champions
89,4,7536,4,3,3,3,0,Potential Loyalist
724,3,4740,1,2,2,1,1,Hibernating
239,2,7728,3,1,3,4,2,About to Sleep
667,5,9646,1,4,4,2,0,About to Sleep
114,5,7269,4,4,3,3,3,Champions
488,2,4893,1,1,2,1,1,Hibernating
124,6,9784,4,5,4,0,3,Champions
43,3,12400,5,2,4,0,4,Loyal Customer
